City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,i-n-salah,27.1935,2.4607,15.77,21,0,1.24,DZ,1738270492
168,kirakira,-10.4544,161.9205,26.06,90,100,3.7,SB,1738270493
169,ulanhot,46.0833,122.0833,-20.32,79,13,2.49,CN,1738270495
170,saudarkrokur,65.7461,-19.6394,0.47,87,100,5.48,IS,1738270496
171,kitui,-1.367,38.0106,18.5,85,90,2.03,KE,1738270497
172,ambon,-3.6954,128.1814,28.82,95,40,1.03,ID,1738270498
173,nuuk,64.1835,-51.7216,-2.66,59,75,7.72,GL,1738270499
174,saint-philippe,-21.3585,55.7679,27.42,83,92,4.36,RE,1738270500
175,saint augustine beach,29.8505,-81.2654,21.14,68,0,2.57,US,1738270502
176,srednebelaya,50.6594,128.0106,-22.51,100,100,1.92,RU,1738270503
177,vorgashor,67.5833,63.95,-16.66,97,100,2.4,RU,1738270504
178,wailua homesteads,22.0669,-159.378,24.44,88,75,9.77,US,1738270505
179,undurkhaan,47.3194,110.6556,-21.71,95,19,2.18,MN,1738270506
180,lebu,-37.6167,-73.65,17.97,72,3,3.81,CL,1738270507
181,bandon,51.7469,-8.7425,7.77,95,99,8.34,IE,1738270508
182,la tuque,47.4334,-72.7824,-14.86,43,100,2.57,CA,1738270510
183,bengkulu,-3.8004,102.2655,23.77,90,99,2.19,ID,1738270511
184,perry,37.2506,-83.1999,9.33,68,100,3.46,US,1738270512
185,olonkinbyen,70.9221,-8.7187,-3.89,84,100,2.6,SJ,1738270513
186,alaghsas,17.0187,8.0168,19.46,18,88,5.8,NE,1738270514
187,copala,16.65,-98.9833,29.18,56,0,5.09,MX,1738270517
188,keflavik,64.0049,-22.5624,1.24,75,75,13.38,IS,1738270518
189,laguna,38.421,-121.4238,13.46,68,0,3.6,US,1738270519
190,mejit,10.2753,170.8646,26.67,76,59,7.04,MH,1738270520
191,san julian,21.0167,-102.1667,24.34,16,3,6.52,MX,1738270521
192,piacabucu,-10.4056,-36.4344,26.51,73,19,4.41,BR,1738270522
193,anaconda,46.1285,-112.9423,4.76,63,30,3.56,US,1738270523
194,arraial do cabo,-22.9661,-42.0278,27.92,65,75,6.17,BR,1738270524
195,jamestown,42.097,-79.2353,3.56,57,0,5.66,US,1738270525
196,ghat,24.9647,10.1728,15.39,21,0,2.96,LY,1738270527
197,auki,-8.7676,160.7034,26.6,86,100,3.96,SB,1738270528
198,muszyna,49.3566,20.8972,1.14,63,42,2.31,PL,1738270529
199,hadibu,12.65,54.0333,22.72,77,41,4.87,YE,1738270530
200,juan griego,11.0817,-63.9655,27.3,72,1,8.3,VE,1738270531
201,yuzhno-kurilsk,44.0306,145.8556,-1.16,95,100,11.55,RU,1738270532
202,halabjah,35.1778,45.9861,6.56,39,0,2.55,IQ,1738270533
203,celestun,20.8667,-90.4,29.67,56,0,1.77,MX,1738270534
204,mogadishu,2.0371,45.3438,24.56,89,3,7.29,SO,1738270097
205,tibati,6.4667,12.6333,20.75,19,10,2.46,CM,1738270536
206,hastings,50.8552,0.5729,3.99,79,6,3.42,GB,1738270537
207,port alfred,-33.5906,26.891,22.32,92,86,0.89,ZA,1738270454
208,richards bay,-28.783,32.0377,23.72,87,70,3.36,ZA,1738270539
209,ruteng,-8.6136,120.4721,18.23,99,100,1.49,ID,1738270531
210,touros,-5.1989,-35.4608,27.29,72,18,5.35,BR,1738270543
211,nema,57.5067,50.5011,-0.23,97,100,2.93,RU,1738270544
212,minas de marcona,-15.2119,-75.1103,21.76,62,72,7.51,PE,1738270546
213,port mathurin,-19.6833,63.4167,26.75,83,96,9.0,MU,1738270547
214,igrim,63.1906,64.4162,-23.22,99,60,2.18,RU,1738270548
215,jingdezhen,29.2947,117.2079,11.65,50,100,0.38,CN,1738270549
216,sitka,57.0531,-135.33,-1.06,80,100,4.63,US,1738270550
217,tuzhai,24.983,118.8319,11.61,84,5,3.24,CN,1738270551
218,kodiak,57.79,-152.4072,-7.27,45,0,5.66,US,1738270552
219,polyarnyy,69.1989,33.4478,-0.5,89,100,11.28,RU,1738270554
220,kachug,53.9606,105.8817,-36.56,100,48,0.41,RU,1738270555
221,happy valley-goose bay,53.3168,-60.3315,-19.83,59,100,4.63,CA,1738270507
222,shiqian,27.5225,108.2281,7.99,95,100,0.98,CN,1738270557
223,mbandaka,0.0487,18.2603,24.92,42,41,0.89,CD,1738270558
224,west island,-12.1568,96.8225,26.99,89,75,4.12,CC,1738270559
225,tannum sands,-23.9504,151.3693,24.94,78,75,3.6,AU,1738270560
226,lauro de freitas,-12.8944,-38.3272,29.01,65,40,5.66,BR,1738270521
227,shakiso,5.75,38.9167,17.41,40,82,1.06,ET,1738270562
228,charters towers,-20.1,146.2667,24.25,81,100,7.58,AU,1738270563
229,badger,64.8,-147.5333,-28.34,75,40,1.54,US,1738270564
230,obidos,-1.9175,-55.5181,30.69,58,100,2.51,BR,1738270393
231,lihue,21.9789,-159.3672,24.77,85,75,9.77,US,1738270567
232,uturoa,-16.7333,-151.4333,27.51,75,5,8.09,PF,1738270568
233,tolanaro,-25.0319,46.9987,26.52,83,64,2.98,MG,1738270569
234,hasaki,35.7333,140.8333,5.8,42,3,7.28,JP,1738270570
235,marshfield,44.6689,-90.1718,10.97,37,0,4.12,US,1738270571
236,sao jose dos pinhais,-25.5347,-49.2064,21.25,76,75,6.17,BR,1738270572
237,sinop,41.7711,34.8709,8.88,38,100,3.1,TR,1738270573
238,garden city,42.3256,-83.331,8.0,58,75,4.63,US,1738270574
239,capao bonito,-24.0058,-48.3494,22.69,97,73,2.3,BR,1738270575
240,tamanrasset,22.785,5.5228,11.95,22,0,2.57,DZ,1738270576
241,klyuchi,52.2667,79.1667,-12.09,95,100,4.46,RU,1738270577
242,smithers,54.7804,-127.1743,-6.82,73,20,2.57,CA,1738270578
243,usinsk,65.9939,57.5281,-15.48,95,100,3.69,RU,1738270579
244,golden valley,45.0097,-93.3491,10.69,48,0,5.14,US,1738270580
245,varzea da palma,-17.5981,-44.7308,22.58,91,100,0.78,BR,1738270582
246,ouani,-12.1322,44.4258,27.68,85,14,5.58,KM,1738270583
247,kingston,17.997,-76.7936,31.76,62,40,9.26,JM,1738270537
248,novo aripuana,-5.1206,-60.3797,26.78,94,99,0.59,BR,1738270585
249,ciudad madero,22.2667,-97.8333,24.47,76,48,4.08,MX,1738270586
250,punta arenas,-53.15,-70.9167,13.06,54,0,12.35,CL,1738270476
251,banaz,38.7371,29.7519,7.14,75,100,1.17,TR,1738270588
252,dien bien phu,21.3833,103.0167,12.49,91,5,0.44,VN,1738270589
253,gereida,11.2811,25.1414,18.94,22,3,5.1,SD,1738270590
254,lamu,-2.2717,40.902,24.17,89,5,5.0,KE,1738270593
255,kapren,25.4167,76.0667,15.97,31,96,1.62,IN,1738270594
256,nizhneangarsk,55.7833,109.55,-25.68,77,1,2.29,RU,1738270595
257,abancay,-13.6339,-72.8814,20.1,60,100,2.94,PE,1738270596
258,papatowai,-46.5619,169.4708,16.35,57,98,0.6,NZ,1738270597
259,waurn ponds,-38.2167,144.2833,13.47,71,63,1.38,AU,1738270598
260,solikamsk,59.6196,56.7729,-5.64,96,100,3.6,RU,1738270599
